mango_id,filename,orientation,is_ripe,m_height,m_width,m_thickness,m_volume,m_weight,b_height,b_width,b_thickness,b_volume,b_weight,has_aruco
1,mango1_sia_r.jpg,side,1,8.1,6.3,5.4,170.0,168.1,6.2,3.8,1.8,25.0,21.3,0
1,mango1_sia_r_ver.jpg,side,1,8.1,6.3,5.4,170.0,168.1,6.2,3.8,1.8,25.0,21.3,0
1,mango1_sib_r.jpg,side,1,8.1,6.3,5.4,170.0,168.1,6.2,3.8,1.8,25.0,21.3,0
1,mango1_sib_r_ver.jpg,side,1,8.1,6.3,5.4,170.0,168.1,6.2,3.8,1.8,25.0,21.3,0
2,mango2_sia_r.jpg,side,1,8.8,7.3,6.3,225.0,218.4,6.5,4.4,2.3,30.0,29.6,0
2,mango2_sia_r_ver.jpg,side,1,8.8,7.3,6.3,225.0,218.4,6.5,4.4,2.3,30.0,29.6,0
2,mango2_sib_r.jpg,side,1,8.8,7.3,6.3,225.0,218.4,6.5,4.4,2.3,30.0,29.6,0
2,mango2_sib_r_ver.jpg,side,1,8.8,7.3,6.3,225.0,218.4,6.5,4.4,2.3,30.0,29.6,0
3,mango3_sia_u.jpg,side,0,8.2,6.4,4.6,145.0,124.1,5.8,3.9,2.3,20.0,22.1,0
3,mango3_sia_u_ver.jpg,side,0,8.2,6.4,4.6,145.0,124.1,5.8,3.9,2.3,20.0,22.1,0
3,mango3_sib_u.jpg,side,0,8.2,6.4,4.6,145.0,124.1,5.8,3.9,2.3,20.0,22.1,0
3,mango3_sib_u_ver.jpg,side,0,8.2,6.4,4.6,145.0,124.1,5.8,3.9,2.3,20.0,22.1,0
4,mango4_bot_r.jpg,bottom,1,8.4,6.9,6.0,200.0,202.3,6.0,3.8,1.9,25.0,30.2,0
4,mango4_bot_r_hor.jpg,bottom,1,8.4,6.9,6.0,200.0,202.3,6.0,3.8,1.9,25.0,30.2,0
4,mango4_bot_r_ver.jpg,bottom,1,8.4,6.9,6.0,200.0,202.3,6.0,3.8,1.9,25.0,30.2,0
4,mango4_sia_r.jpg,side,1,8.4,6.9,6.0,200.0,202.3,6.0,3.8,1.9,25.0,30.2,0
