Mango ID	m_height	m_width	m_length	m_volume	m_weight	b_height	b_width	b_length	b_volume	b_weight	is_ripe	has_aruco
mango1	8.1	6.3	5.4	170	168.1	6.2	3.8	1.8	25	21.3	1	0
mango2	8.8	7.3	6.3	225	218.4	6.5	4.4	2.3	30	29.6	1	0
mango3	8.2	6.4	4.6	145	124.1	5.8	3.9	2.3	20	22.1	0	0
mango4	8.4	6.9	6	200	202.3	6	3.8	1.9	25	30.2	1	0
mango5	6.7	5.3	5.9	110	104.2	5	3.1	1.5	15	13.2	0	0
mango6	9	7.4	7.9	250	247.8	6.5	4.3	2.2	35	35	1	0
mango7	8.3	6.8	6	190	195.3	6	3.8	1.9	25	28	1	0
mango8	8.4	6.7	6.2	195	202.9	6.1	3.8	1.9	25	29	1	0
mango9	8.8	7.3	6.5	220	227.7	6.4	4.1	2.1	30	32	1	0
mango10	6.2	5.7	4.5	80	74.1	4.5	2.7	1.4	10	8.5	0	0
mango11	9	6.9	6.4	215	190.1	6.4	4.1	2.5	42	35.9	0	0
mango12	7.6	6.3	5.4	150	130.9	5.9	3.9	2.1	25	23.9	0	0
mango13	7.9	6.2	5.4	150	131.7	6	4.1	2.2	35	29	0	0
mango14	8.7	6.9	6.4	220	218.2	6.3	3.7	2	32	31.4	1	0
mango15	6.6	5.1	4.5	80	78	4.5	2.6	1.5	10	9.1	0	0
mango16	8.8	6.5	5.7	190	162	6.1	3.6	1.9	30	24.4	0	0
mango17	5	3.9	3.6	50	36	3.1	2.1	1	5	3.8	0	0
mango18	7.7	6.3	5.4	150	134.2	5.8	3.8	2	35	25	0	0
mango19	7.6	6.2	5.1	140	126.4	5.5	3.6	1.9	35	23.2	0	0
mango20	7.1	6.6	4.9	115	103.2	5.5	3.6	1.9	25	20.3	1	0
mango21	7.5	6	5.1	130	117.7	5.6	3.5	1.9	25	20.6	0	0
mango22	7.6	6.4	5.3	130	119	5.3	3.8	2.1	25	22.2	0	0
mango23	7.5	5.8	4.9	110	106.3	4.8	3.1	1.8	10	12	0	0
mango24	8	6.5	5.9	180	185	5.9	3.6	2	20	22.7	1	0
mango25	6.6	5.4	4.4	80	78.9	4.4	2.8	1.3	10	8.1	0	0
mango26	8.8	7.5	6.6	225	217.7	6.3	4.1	2.3	30	34	1	0
mango27	7.6	6.6	5.5	130	131.2	5.6	3.5	1.8	20	21.3	0	0
mango28	8.7	7.1	6.3	200	217.9	6.3	3.9	1.9	25	30.7	1	0
mango29	8.1	6.5	5.7	150	146.9	5.8	3.7	1.8	20	21.4	0	0
mango30	8.7	6.9	6.4	200	210.2	6.1	3.8	2	30	30	1	0
mango31	8.1	6.4	5.4	127	134	5.8	3.7	1.6	25	21	0	0
mango32	8.8	6.6	5.9	180	167.8	6.2	3.8	2	25	27.7	0	0
mango33	8.1	7	6.1	200	205	6	3.8	1.9	25	28.6	1	0
mango34	7.7	6.3	5.4	140	132.2	5.2	3.5	1.9	20	20	0	0
mango35	7.7	6.6	5.6	150	148.9	5.6	3.6	1.7	20	22	0	0
mango36	6.9	5.3	4.8	95	94.5	5.3	3.1	1.6	12	13	1	1
mango37	5.8	4.8	5	70	72.2	4.6	2.9	1.6	10	10	1	1
mango38	8.1	6.7	6.4	185	186.4	6.1	3.8	2	25	26	1	1
mango39	7.9	6.6	6	180	184.5	6	3.7	1.9	25	25.5	1	1
mango40	7.3	6.4	5.9	150	154.1	5.5	3.6	1.9	20	21.5	1	1
mango41	7.3	6.1	5.8	140	145	5.5	3.5	1.9	20	20	1	1
mango42	8.1	6.6	6.4	210	196.5	6.1	3.8	2.2	30	28.5	1	1
mango43	7.3	6.4	5.9	150	149.8	5.5	3.7	2	20	22	0	1
mango44	7.4	6.3	5.8	180	170.3	5.6	3.6	2	25	24.5	0	1
mango45	7.9	6.3	5.9	180	172.7	5.9	3.6	2	25	25	0	1
